Id,Category
4337,yes
1456,no
1772,no
34,yes
1044,no
2158,no
3030,no
2127,no
2073,yes
780,no
2090,no
1696,no
2391,no
765,no
3493,no
2747,no
506,no
3389,no
2721,no
2241,no
4438,no
2909,no
1574,yes
3882,no
757,no
1420,no
4415,no
13,yes
2419,yes
586,no
1992,no
3200,no
4402,yes
1164,no
2290,no
4099,no
2071,no
4070,no
2664,no
116,no
2678,no
1327,no
2077,yes
1635,no
584,no
4124,yes
2866,no
3084,no
4279,no
3961,yes
261,no
1134,no
3466,no
4088,no
1263,no
2047,no
2893,no
2247,no
2022,no
2817,no
1928,yes
2782,no
1701,no
2470,no
2168,yes
2795,no
309,no
2930,no
4497,no
4446,no
597,no
2487,no
1286,no
2313,no
4388,yes
1246,no
44,no
2693,no
3933,no
3433,no
397,no
4338,no
1837,yes
399,no
2669,no
1816,no
115,yes
3075,no
861,no
1367,no
3688,no
2757,no
300,no
4036,no
693,no
3655,no
3752,no
1764,no
2404,no
2665,yes
3813,no
3577,no
1931,no
4168,no
3689,no
1844,yes
4300,yes
4204,no
3522,no
39,no
1436,no
1656,no
4052,no
3456,no
590,no
3260,no
453,no
1571,no
1823,no
2039,no
3501,no
4468,no
1700,no
4441,no
3136,no
2679,no
532,no
1631,no
1839,no
4224,yes
1629,no
513,no
4345,no
3729,no
3144,no
978,no
837,yes
3890,yes
3567,no
3734,yes
3956,yes
2506,no
1142,yes
615,no
2927,no
576,no
964,no
4178,no
4034,no
1015,no
3432,no
2013,no
241,no
1243,no
3872,no
2948,yes
417,no
2845,yes
3199,no
3707,no
4232,yes
4252,no
886,yes
1633,no
1127,no
1836,no
1309,no
4144,no
472,no
3404,no
808,no
1760,yes
195,no
1881,no
4199,no
1898,no
4454,no
3999,no
4378,no
3732,no
3092,no
495,no
829,no
424,no
1019,yes
4207,no
660,no
678,no
3025,no
836,no
294,no
3632,no
315,no
3094,no
144,no
663,no
2985,yes
1804,no
4263,yes
2973,yes
419,no
1450,no
2326,no
4405,no
2851,yes
1170,no
4112,no
3146,no
2133,no
986,no
2682,no
632,no
4410,no
2540,yes
1085,yes
1392,no
654,no
634,yes
3541,no
2353,no
159,no
2094,no
2481,no
17,no
2369,no
253,no
1608,no
3613,no
571,no
2402,no
987,no
131,no
737,yes
821,no
5,no
3226,no
1348,no
1269,yes
299,yes
1244,no
3434,no
384,no
2552,no
266,no
3978,yes
2201,no
285,no
1430,no
22,no
623,no
917,no
3531,no
292,no
3232,no
1601,no
523,no
3198,no
1879,no
3884,no
1064,no
3823,no
3171,no
2995,no
955,no
4456,no
2686,no
1228,no
613,yes
254,no
1174,no
3657,no
1874,no
2265,no
501,no
849,yes
114,yes
1389,no
867,no
3283,no
2771,no
3081,no
4142,no
2609,no
1279,no
2777,no
2076,no
1023,no
1889,yes
1990,no
3263,no
2500,no
2921,no
2386,no
2328,no
1907,no
100,no
3450,no
1980,no
1755,yes
4299,no
3948,no
4444,no
1869,no
1248,no
3658,yes
306,yes
3677,no
1977,no
3169,no
868,no
3631,no
1480,no
627,no
871,yes
1959,no
694,no
566,no
1510,no
2937,no
178,no
3452,no
1805,no
2207,no
433,no
1787,no
359,no
4038,no
3287,no
3292,no
223,no
3502,yes
2726,no
3358,no
142,no
293,no
4306,no
3048,no
4193,no
2257,no
2444,yes
1720,no
2591,no
833,no
4152,no
2186,no
3070,no
2457,no
3365,no
1573,no
681,no
4220,yes
2477,yes
2139,no
1218,no
1460,no
1537,no
1862,yes
4395,no
2613,no
1825,no
4265,no
11,no
3132,no
3765,yes
2389,no
2276,no
4449,no
4499,no
4344,no
3345,no
132,no
3790,no
2875,no
1206,yes
1406,no
2590,no
852,no
2115,no
149,no
3121,no
1031,no
715,no
107,no
190,no
703,no
1730,no
1918,no
2620,no
3442,no
1088,no
3589,yes
903,no
1195,no
2580,no
1328,no
611,no
1752,no
2956,no
4353,no
1071,no
494,yes
3091,no
1223,no
1906,no
1383,no
3022,no
3988,no
3538,yes
1415,no
2091,no
2826,yes
2148,yes
653,no
2763,no
899,no
3428,no
2384,no
4314,no
1578,no
286,no
3681,yes
890,no
2320,no
4197,no
3277,no
3626,no
2475,no
1332,yes
2067,no
2989,no
2810,no
787,no
705,yes
592,no
3758,no
3693,no
346,no
4230,no
3425,no
1188,no
1617,no
2784,no
2839,no
3904,no
1478,no
2707,no
2370,yes
2498,no
3134,no
879,no
925,no
4472,no
2654,yes
3564,no
3660,no
2208,no
2150,no
2182,yes
4019,no
4307,no
3952,no
1830,no
4089,yes
4104,no
931,no
802,no
3718,no
4128,no
683,no
4409,no
2012,no
143,no
482,no
1226,no
4442,no
3379,no
3047,no
3909,yes
3837,no
2175,no
272,no
2491,no
1123,no
3934,no
3475,no
4360,no
2962,yes
3125,no
3515,no
2121,no
4518,no
2124,no
2375,yes
2515,no
2433,yes
448,no
499,no
690,no
3492,no
50,yes
3967,no
809,yes
652,no
2788,no
3706,no
1657,no
388,no
1042,no
326,no
49,yes
1788,no
550,no
2222,no
2493,no
4354,no
221,no
1172,no
1917,yes
2593,no
544,no
1401,no
4012,no
2450,no
923,no
1388,no
2857,no
2374,no
1160,no
1384,no
651,no
4426,no
1768,no
648,no
2338,no
604,no
1268,no
3483,no
3258,no
850,no
4251,no
4239,no
2643,no
1442,no
3303,no
842,no
1204,no
4221,no
508,no
704,yes
1743,no
2214,no
3059,no
3834,no
1201,no
4318,no
2,no
1451,no
699,no
1390,no
4390,no
3482,no
130,no
4240,no
1153,no
3399,no
1114,no
1850,no
2755,no
1639,no
1473,no
556,no
826,no
2990,no
182,no
2534,no
2744,no
2120,yes
2147,no
1362,no
698,no
725,no
186,no
1067,no
1967,no
2987,no
4206,no
1254,no
2751,no
3776,no
1579,no
2218,no
3889,yes
2078,no
4002,no
1533,no
1250,no
3606,no
1555,no
15,no
401,yes
2125,no
784,no
793,no
1017,yes
1942,no
389,no
99,yes
3494,no
2683,no
2451,no
1723,no
4068,no
20,no
2774,no
732,yes
2495,no
4269,no
2924,yes
3117,yes
4028,yes
3516,no
3985,no
1352,no
2944,yes
2728,no
637,no
61,no
1000,no
1380,no
133,no
893,no
1553,no
4445,no
3691,no
3635,no
3750,no
2754,no
2983,no
3026,no
1616,no
1431,yes
797,no
3994,no
4147,no
2653,yes
3246,no
2868,no
1902,no
2342,no
3678,no
942,no
4185,no
475,no
1050,no
1149,no
638,no
1028,no
4166,no
406,no
333,yes
4171,no
717,no
2796,no
2934,no
1095,no
2340,no
3126,no
2507,no
1056,yes
1026,no
3139,no
222,no
4340,no
1832,no
4422,no
4362,no
1239,no
2351,no
4063,no
2595,no
1485,yes
1846,yes
3194,no
2877,no
127,no
196,no
4200,no
2648,no
73,no
1285,no
3491,yes
1640,no
3397,no
2251,yes
1022,no
396,no
1058,no
3949,no
3159,no
2926,no
1266,yes
1503,no
3060,no
238,no
98,no
1794,no
55,no
4273,no
1041,no
1590,no
1005,no
1105,no
1563,no
2068,yes
3996,no
1349,yes
4189,no
1428,no
4123,yes
192,no
217,no
327,yes
3582,no
335,no
377,yes
4278,no
3128,no
3405,no
3038,no
3043,no
1004,no
2178,no
3039,no
1182,no
2144,no
174,no
2335,no
1411,yes
2666,no
2965,no
3674,no
207,no
2136,no
3928,no
4064,no
4194,yes
1361,no
255,no
2966,no
3430,no
19,no
2459,no
4374,no
4365,no
1935,no
3005,yes
2476,no
2064,no
582,no
1409,no
2809,no
2438,no
565,no
2432,no
1012,no
2631,no
1607,no
2463,no
1894,no
1120,no
379,no
4310,no
275,no
3241,no
1797,no
3054,no
4317,no
4469,no
3787,no
2130,no
1205,no
2011,no
1771,no
1736,yes
180,no
748,no
1284,no
2337,no
2702,no
1200,no
1908,no
1993,no
3603,no
912,no
3927,no
1678,no
3101,no
1364,no
3619,no
4188,no
3561,no
2292,no
1112,no
2687,no
4425,no
742,no
1261,no
4384,no
1275,no
3302,no
580,no
1968,no
4335,no
3624,no
1940,yes
2865,yes
505,no
3372,no
864,no
4121,no
3009,no
3671,no
2304,no
442,no
960,no
3726,no
3863,no
1052,no
1949,no
4394,no
3850,no
2715,no
2271,no
635,no
526,no
567,no
138,yes
32,no
1712,no
1471,no
2896,no
4046,no
2424,no
3335,no
1377,no
2048,no
381,no
1300,yes
1076,yes
3264,no
3563,no
2689,no
3458,yes
1645,no
477,yes
2938,no
2914,no
3218,no
1391,no
3916,no
2847,yes
2212,yes
4233,no
1745,no
350,no
1090,no
2044,no
3767,no
608,no
1335,no
2644,yes
1030,no
2056,no
1651,no
2027,no
3833,no
245,no
2308,no
3029,yes
447,no
4218,no
3268,no
2524,no
1150,no
3186,no
1293,no
1504,yes
2197,no
4125,yes
756,yes
2331,no
3490,no
3675,no
2581,no
4043,no
2760,yes
1051,no
600,no
1449,yes
1600,no
2171,no
1947,no
2694,no
2794,no
3585,no
596,no
3042,no
4437,no
2210,no
367,no
1312,yes
1550,no
3337,no
2180,no
4398,no
3316,no
3644,no
830,no
120,no
2605,no
3269,no
2005,no
1047,no
2046,no
3294,no
208,no
4352,no
1454,yes
2453,no
2089,yes
4105,no
4030,no
2293,no
469,no
2439,no
4412,no
2888,no
1821,no
3344,no
2801,no
1379,yes
1679,no
2598,no
1282,no
4026,no
3000,no
3844,yes
831,yes
354,no
1520,no
3977,no
509,yes
4465,yes
2773,yes
4311,no
2712,no
3857,no
1219,no
2939,no
4203,no
3703,no
1273,no
1496,no
3402,no
976,no
1661,no
4387,no
3357,no
4061,yes
1102,no
4202,no
3937,no
2339,no
1410,no
2607,no
234,no
1,no
2993,no
2978,no
420,no
3780,yes
3387,no
1040,yes
26,no
383,no
3896,yes
4219,no
2254,no
1570,no
2329,no
1251,no
3354,no
476,no
1159,no
4484,yes
4177,no
4095,no
1291,no
3422,yes
1316,no
1353,no
3120,no
2170,no
642,no
2501,no
4277,no
1878,no
1097,no
2196,no
83,yes
3438,no
3417,no
1101,no
730,no
3314,no
2235,no
4093,yes
2504,no
2696,yes
3279,no
1297,yes
1877,no
2719,yes
4355,no
3709,no
2630,no
2345,no
189,yes
2398,no
2704,no
3575,no
3231,no
3936,yes
2497,no
851,no
169,no
375,no
197,no
376,no
2045,no
3,no
340,no
564,no
1386,no
2551,no
317,no
2245,no
3272,no
3629,no
4033,no
3835,yes
1603,no
2409,no
2324,no
2098,no
2261,no
3513,no
1025,yes
3920,no
1486,no
841,no
2649,no
3877,no
2239,no
1556,no
3970,no
2509,no
4231,yes
3381,no
2928,no
1106,no
547,no
4281,yes
527,no
237,no
431,no
2367,no
2093,no
3843,yes
2560,no
992,no
3027,yes
1636,no
1689,no
3590,no
3654,no
3662,no
2623,no
1738,no
3737,no
3965,no
2903,no
3089,no
1202,no
1320,no
3393,no
2513,no
1155,no
1369,no
185,no
2014,yes
474,no
1599,no
1465,no
738,no
2640,no
342,no
1217,no
2004,no
1363,no
2625,no
209,no
2084,no
1191,no
1324,no
2873,no
1068,no
1276,yes
3201,no
4020,no
3534,no
1868,no
3006,yes
1686,no
2285,no
671,no
2600,no
620,no
3880,no
2080,no
1344,yes
711,no
410,no
539,no
4517,no
2954,no
3410,no
947,no
361,no
4158,no
1627,no
2783,no
4509,no
3918,no
1873,no
4330,no
880,yes
2314,no
1084,no
1895,no
1756,no
1684,no
684,yes
3569,no
2060,no
4201,no
3980,no
1721,no
351,no
4478,no
1421,no
2330,no
2832,no
3242,no
2177,no
3682,no
2942,no
284,no
400,no
3669,no
3656,no
3127,no
1259,no
1785,no
2714,no
752,no
1882,no
2838,no
4324,no
4131,no
4341,no
2227,no
4143,no
4227,no
2416,no
1398,no
1483,no
4288,no
2536,no
2735,no
4003,no
75,no
1301,no
3016,no
4511,yes
706,no
93,no
4175,no
1234,no
2381,no
3622,no
1183,no
3808,no
3280,no
646,no
2802,no
2312,no
1439,no
2021,no
3460,no
2482,no
3056,no
2232,no
2172,no
1399,no
910,no
1677,no
1670,no
1474,no
1770,no
4182,no
3166,no
1954,no
3414,no
3487,no
310,no
4137,no
316,no
4391,no
1373,no
3019,no
117,no
3420,no
504,no
3191,no
3072,no
3599,no
3694,no
982,no
4289,no
1307,no
4349,no
994,no
1536,no
1622,no
4506,no
936,no
1435,yes
1682,no
1143,no
1939,no
489,no
708,no
423,no
57,no
1937,no
3869,no
2907,no
2603,no
1077,yes
3138,no
2462,no
4476,no
1557,yes
1546,no
154,no
3249,no
140,no
908,no
3930,yes
2095,no
3380,no
4385,no
2413,no
3273,no
2126,no
3891,no
2278,no
4347,no
3444,no
2820,no
3663,no
673,no
617,no
3580,no
2858,no
3374,no
2677,no
551,no
204,yes
1203,no
4512,no
3788,no
2899,no
4393,no
1065,no
76,no
1489,no
3028,no
486,no
1396,no
265,no
1793,no
718,no
2706,no
2576,no
1057,no
898,no
2758,no
4119,no
2859,no
1822,yes
1470,no
1716,no
79,no
594,no
905,yes
614,no
4481,no
3114,no
3462,no
2298,no
461,no
3074,no
1532,yes
3395,no
2327,no
973,no
1798,no
1171,no
4361,no
10,no
500,no
2296,yes
1562,no
2456,no
1318,no
3557,no
3617,no
3697,no
583,no
407,no
2256,no
3742,no
4315,no
4364,yes
139,no
2550,no
944,yes
1173,no
560,no
610,no
2035,no
3291,no
280,no
2471,yes
1628,no
3901,no
577,no
391,no
2137,no
528,no
2967,no
3885,no
4082,no
3923,no
2698,no
1586,no
1849,no
4015,no
599,no
2673,no
700,no
3648,no
2538,no
3832,no
3888,no
3315,yes
1339,no
3205,no
3210,no
3065,no
1315,no
1688,no
2157,no
828,no
2479,no
2392,no
2724,no
146,no
150,no
1295,no
1675,no
3474,no
3913,no
3865,no
4436,no
999,no
3135,yes
3173,no
4228,no
3588,no
101,no
2341,no
2803,no
305,no
825,no
916,no
3415,no
1441,no
345,no
2228,no
2250,no
2742,no
575,no
1394,no
3339,no
2249,no
3034,no
3178,no
1209,no
1528,no
1913,yes
2406,no
2365,no
2997,no
1519,no
1326,no
3938,no
2512,yes
3960,no
1961,no
3243,no
3324,no
3394,yes
3440,no
1538,no
1665,no
1343,yes
1425,yes
1923,no
1267,no
4432,no
1464,yes
1290,no
3472,no
269,no
2879,no
3908,no
4076,no
2421,yes
12,no
4024,no
4066,no
510,no
3062,no
3553,yes
2202,yes
4018,no
1121,no
2528,no
1620,no
2804,no
2563,no
2383,no
889,no
3979,no
2503,no
273,no
1948,no
2224,no
2394,no
2465,no
956,no
3293,no
3238,no
2911,yes
3897,no
4386,no
3659,no
344,no
3858,no
3769,no
1461,no
2968,no
3797,no
3384,no
724,no
996,no
3579,no
1310,no
2051,yes
1440,yes
4148,yes
521,no
3109,no
412,yes
1746,no
1856,no
4433,yes
2237,no
1549,no
2443,no
3033,yes
2364,no
4122,no
2574,no
3748,no
2842,no
1819,no
3849,no
1397,no
2708,no
1566,no
1945,no
1848,no
935,no
4377,no
722,no
3496,no
4375,no
4014,no
530,no
2522,no
1727,yes
1144,no
3207,no
1242,no
3733,yes
1569,no
3275,no
4451,no
3110,no
4250,yes
3350,no
1593,no
1965,no
3208,no
1865,no
2284,no
1081,no
605,no
2869,no
4135,no
4008,no
2387,no
4514,no
4187,no
4342,yes
3015,no
1597,no
1376,no
2660,no
4500,no
762,no
332,no
2408,no
697,no
3061,no
941,yes
3049,no
2876,no
3903,no
2860,no
1472,no
3822,no
2248,no
2030,no
3085,no
3524,no
1583,no
4513,no
4091,no
1526,no
1334,yes
2837,yes
370,no
279,no
3333,yes
4430,no
3278,no
559,no
1075,no
4447,yes
3499,no
1515,no
863,no
1750,no
88,no
198,no
2385,no
3572,no
2559,no
1950,no
3338,no
4414,no
2447,no
1129,no
1698,yes
4274,no
1747,no
546,no
1910,no
1728,no
3090,no
3887,no
3864,no
1568,no
408,no
4000,no
3521,no
1860,no
723,no
1751,no
4287,no
562,no
4399,no
3781,no
4313,no
3331,yes
625,no
3185,no
866,no
3684,yes
1093,no
3295,no
4406,no
3530,no
2363,no
3711,no
4379,no
4460,no
950,no
2006,no
3289,no
4276,no
4291,no
3792,no
1709,yes
3396,no
930,no
1154,no
8,no
540,yes
2400,no
2624,no
2916,no
965,yes
2517,no
1082,no
1978,no
288,no
641,no
2040,no
984,yes
3543,no
3731,no
134,no
3271,yes
307,no
2446,no
4254,no
402,no
2167,no
2417,no
3220,no
405,no
2160,no
1854,yes
2243,no
2843,no
3830,no
443,yes
1094,no
2955,no
1725,no
3003,no
2737,no
1673,no
2622,no
764,no
835,no
4258,no
858,no
991,yes
1069,no
3463,no
3095,no
168,no
2710,no
4163,no
1237,no
3364,no
3320,no
3307,no
3597,no
1842,no
228,no
735,no
363,no
1443,no
1664,no
3976,no
213,no
952,no
3581,no
2766,no
2159,yes
2299,no
1813,no
425,no
2072,no
860,no
3958,no
728,no
1168,yes
2547,no
3692,no
1953,no
1104,no
3326,no
337,no
1652,no
2901,no
4256,yes
1366,no
3077,no
1996,no
1128,no
1501,yes
3473,no
1054,no
1393,no
3881,yes
1148,no
791,no
1971,no
395,no
2184,no
2105,no
3008,no
4096,no
4244,no
3464,no
2856,no
2811,no
4295,no
3245,no
3840,no
1693,yes
3323,no
2946,no
3829,no
4520,no
631,no
2791,no
1776,no
3108,no
4109,no
2273,no
1482,no
4150,no
685,no
1350,no
434,no
885,no
4489,no
862,yes
578,no
4,no
3340,no
3153,no
128,no
3100,no
3366,no
1911,no
2355,no
58,no
511,no
2596,no
2546,no
3040,yes
4320,no
545,no
3359,no
2569,no
3951,no
2647,no
2407,no
2668,no
43,no
2059,no
4106,no
1073,no
392,no
1007,yes
1933,no
2971,no
1211,no
2219,yes
3124,no
2841,no
766,no
1227,no
4249,no
3845,no
2897,no
769,no
492,yes
3668,no
3791,no
3150,no
1139,no
3664,no
3286,no
1824,no
985,no
4027,no
4503,yes
719,no
1272,no
541,no
2618,no
2578,no
3004,no
512,yes
2905,no
538,no
2302,no
1976,no
1613,no
4257,no
3992,no
1767,yes
2932,no
4084,no
2633,yes
3346,no
109,no
1960,no
3528,no
1936,no
3770,no
1946,yes
3551,no
2511,no
2031,no
3489,no
701,no
3546,no
4453,no
35,no
47,no
914,no
3182,no
2229,no
3815,no
1131,no
3724,no
736,no
3586,yes
1060,yes
4380,no
848,no
4060,no
2028,no
786,no
3907,no
676,no
3623,no
4294,no
2833,no
2165,no
4025,no
3233,no
2906,no
1769,no
3063,no
3772,no
295,yes
1969,no
1214,no
311,no
1252,no
2478,no
3768,no
3506,no
87,no
2583,yes
3265,no
2621,no
2309,no
2297,no
4493,no
975,yes
4400,no
267,no
4042,no
4196,yes
3106,no
3214,no
2173,no
643,yes
2262,no
2053,no
3193,no
2577,no
1789,no
3754,yes
428,no
754,no
3305,yes
4467,no
4475,no
4488,no
251,no
1021,yes
194,no
219,no
1078,no
1167,no
3608,no
1527,no
444,no
807,no
227,no
1658,no
3158,no
2088,no
1162,no
1765,no
2397,no
249,no
4326,no
3807,no
818,no
3646,no
1580,no
740,no
229,no
3548,no
103,no
819,no
998,no
4006,no
4323,no
248,no
2318,no
4495,no
3183,no
1880,no
390,no
1780,no
2286,no
446,no
1062,no
2743,no
2952,no
1231,no
3848,no
516,no
1387,no
1475,no
2033,yes
1039,no
3686,no
1488,no
3485,no
734,no
2709,no
981,no
2117,no
2612,no
2038,no
844,no
691,no
468,no
4161,no
1126,no
3204,no
4490,no
413,no
1001,no
2637,no
3177,no
445,no
2301,no
751,no
2346,no
3087,no
1385,no
2562,no
108,yes
2642,no
591,no
4120,no
1115,no
3794,no
974,no
3099,no
3856,no
1711,no
3554,no
1786,no
2223,no
2138,no
2336,no
3162,no
593,no
4079,no
1784,no
2162,no
2670,no
2892,no
64,no
3647,no
2110,no
1930,no
1748,yes
3824,no
2086,no
2588,no
531,no
3870,no
4010,no
4296,no
4505,yes
14,no
3727,no
1458,yes
3261,no
990,no
2010,no
4290,no
1194,no
2567,no
2652,no
2703,no
939,no
1801,no
1575,no
3480,no
713,no
517,yes
3299,no
1731,no
3604,no
779,no
4100,no
3972,no
3874,yes
581,yes
4260,no
3308,no
3237,no
1372,no
1433,no
360,no
46,no
579,no
3330,no
230,no
1175,no
471,no
1775,no
1742,no
1103,no
278,no
2116,no
918,no
4181,no
216,no
4050,no
3639,no
51,no
1699,no
2579,no
232,no
456,yes
3827,no
798,no
347,yes
4170,no
2789,no
2564,no
2499,yes
3481,no
633,no
595,no
2020,no
1032,no
466,no
847,no
1866,no
3014,no
4165,no
3055,no
3700,no
4271,no
3600,no
21,no
2043,no
3370,no
2275,no
1828,no
175,no
4127,no
1232,no
334,yes
2539,yes
2483,no
2362,no
2490,no
1018,no
330,no
1726,no
4132,no
2233,yes
1357,no
1146,no
789,no
927,no
29,no
2889,no
3562,no
2982,no
2734,no
4325,no
41,no
2960,no
136,no
3735,no
236,no
4473,no
4176,yes
3147,no
2000,no
40,no
1671,no
3713,no
3468,no
181,no
1163,no
2617,no
1560,no
1734,no
2034,no
3196,no
3457,no
2825,no
621,no
3189,no
3175,no
554,no
2472,no
3202,yes
1305,no
2023,no
1506,no
3363,no
3392,no
2543,no
2315,no
3416,no
1668,no
1176,no
4474,no
297,yes
1641,no
2808,no
763,no
2878,no
4253,no
3645,no
1487,no
2050,no
1213,no
3429,no
1253,no
1660,no
2065,no
2585,no
822,no
4080,no
202,yes
4367,no
203,no
3917,yes
3852,no
3471,no
2961,no
1013,no
832,no
2959,no
270,no
2435,no
907,no
1070,yes
3922,no
3873,no
4389,no
3610,no
2516,no
191,no
1288,no
1224,no
1512,no
1412,no
2951,no
3167,no
3723,yes
813,no
993,no
2680,no
2918,no
3853,yes
2526,no
1113,no
744,no
2634,no
4146,no
674,no
1210,no
672,no
3296,no
3939,no
3223,no
2723,no
1331,no
259,yes
1274,no
2135,no
778,no
4108,yes
2533,no
2953,yes
1079,no
1581,no
4470,no
2122,yes
2132,no
650,no
2191,no
2844,no
4110,no
4167,no
4190,no
2941,no
302,no
3037,no
318,yes
1901,no
2792,no
2699,no
977,no
4157,no
873,no
4057,no
2700,no
4359,no
4261,no
2029,no
3504,no
2455,no
145,no
355,no
65,no
2426,no
3105,no
2882,no
4041,no
606,no
2981,no
4086,no
2054,no
1340,no
1249,yes
91,no
2790,no
714,no
3983,no
3023,no
2070,no
2379,no
573,no
1235,no
3975,no
1360,no
3525,no
2418,no
761,no
4217,yes
3130,no
3855,no
2063,no
2733,no
1524,no
894,no
3219,yes
2589,no
3222,no
3911,no
3080,yes
2739,no
1561,no
3878,no
210,no
1048,yes
2252,no
1588,no
552,no
3625,no
2542,no
645,yes
2750,no
104,no
4485,no
514,no
2695,no
2815,no
3932,yes
2198,no
3695,yes
2638,no
4081,no
1055,no
3319,no
1781,no
2798,no
872,no
1087,no
2156,no
205,no
3495,no
2449,yes
4238,yes
4504,yes
3112,no
4431,no
1531,no
2762,no
1035,no
1530,no
2736,no
235,no
1592,no
156,yes
1455,no
549,no
3071,no
823,yes
4029,no
4464,no
4065,no
1215,no
1049,no
3935,no
2279,no
426,no
1016,no
3987,no
1861,no
953,no
2823,yes
2658,no
3805,no
1033,no
3568,no
451,no
1089,no
3801,no
3594,no
3924,no
1427,no
4327,no
915,no
3032,no
3974,no
2411,no
3486,no
2705,yes
1674,no
3900,no
3944,no
2277,no
167,no
1811,no
3133,no
630,yes
904,no
2448,no
1540,no
4383,no
313,no
3088,yes
3607,no
1187,no
3118,no
1714,no
806,no
1809,no
3704,no
3436,no
2101,no
4211,yes
507,no
3892,no
242,no
4192,no
3164,no
7,no
1494,no
3510,yes
3819,yes
3251,no
349,no
2519,no
481,no
2079,no
3505,no
3592,no
3449,no
157,no
2269,no
244,no
3155,no
4369,no
3235,no
435,no
3728,no
3270,no
3665,no
1444,no
3559,no
276,no
1302,no
290,yes
2800,no
2779,no
454,no
3774,no
3555,no
771,no
796,no
4035,no
3941,no
3566,no
755,no
2604,no
1543,no
1618,no
239,no
3905,no
680,no
53,yes
94,no
2496,no
4210,no
473,yes
2058,no
1006,no
4329,no
3398,no
1514,no
794,yes
3349,no
3799,no
612,no
2025,no
3883,no
1374,no
1938,no
118,no
1655,no
3741,no
3602,no
2799,no
4085,no
2366,no
2920,no
119,no
3259,no
2373,no
2415,no
811,no
2672,no
4216,no
274,no
745,no
2931,no
3073,yes
1264,no
3533,no
874,no
2976,no
963,no
1883,no
3512,no
2895,no
352,no
1975,no
4298,no
3447,no
758,no
3598,no
1984,no
855,yes
4368,no
4241,no
4268,no
2880,no
2161,no
967,no
3990,no
243,no
4101,no
3968,no
3841,no
1766,no
357,no
470,no
3544,no
3715,no
1795,no
319,no
857,no
753,no
1729,yes
3236,no
785,no
2015,yes
2258,no
4183,no
968,no
895,no
1529,no
838,no
1962,yes
1749,no
2270,no
2505,no
