,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome
3517,25,technician,married,tertiary,no,914,yes,no,cellular,12,may,185,2,-1,0,unknown
4071,28,admin.,married,secondary,no,12,yes,no,cellular,30,jan,73,3,256,3,other
883,45,entrepreneur,married,primary,no,58,yes,no,telephone,13,may,119,3,371,3,failure
529,40,management,married,tertiary,no,1584,yes,no,telephone,21,nov,661,1,-1,0,unknown
3143,54,blue-collar,married,secondary,no,-630,no,no,unknown,23,may,173,1,-1,0,unknown
721,31,technician,single,tertiary,no,-162,yes,no,cellular,18,may,380,1,-1,0,unknown
1063,33,blue-collar,married,primary,no,1165,yes,no,unknown,21,may,420,2,-1,0,unknown
1495,31,blue-collar,married,secondary,no,79,yes,yes,cellular,23,jul,235,11,-1,0,unknown
626,33,management,single,tertiary,no,9449,yes,no,cellular,8,may,428,1,-1,0,unknown
1986,34,management,single,tertiary,no,618,yes,no,unknown,3,jun,119,4,-1,0,unknown
3076,33,blue-collar,married,primary,no,925,no,no,cellular,20,nov,884,3,-1,0,unknown
2741,37,technician,single,secondary,no,61,yes,no,unknown,19,may,182,8,-1,0,unknown
2049,59,technician,married,primary,no,4198,no,no,cellular,14,jan,309,1,91,10,success
3443,40,blue-collar,married,secondary,no,6767,yes,no,cellular,20,nov,97,2,-1,0,unknown
4054,28,technician,single,secondary,no,1532,no,no,cellular,22,may,253,1,107,5,failure
2032,59,management,married,primary,no,1727,no,no,telephone,25,may,500,4,358,2,failure
362,50,housemaid,married,primary,no,395,yes,no,unknown,15,may,419,2,-1,0,unknown
4045,34,technician,single,secondary,no,60,no,no,cellular,7,aug,274,2,-1,0,unknown
1741,41,management,married,tertiary,no,51,no,no,cellular,25,aug,140,8,-1,0,unknown
4053,31,admin.,divorced,secondary,no,360,no,no,cellular,15,may,332,1,297,2,other
1445,32,self-employed,married,secondary,no,413,yes,no,cellular,11,jul,712,2,-1,0,unknown
3332,31,management,married,tertiary,no,22546,yes,no,cellular,14,may,8,6,267,4,failure
4047,75,retired,married,secondary,no,26452,no,no,telephone,15,jul,219,2,-1,0,unknown
1117,42,technician,single,tertiary,no,-411,yes,no,cellular,12,may,78,5,292,3,failure
1985,29,student,single,unknown,no,145,no,no,cellular,14,aug,105,1,-1,0,unknown
1313,32,management,single,tertiary,no,151,yes,no,unknown,6,may,118,1,-1,0,unknown
2332,30,management,married,tertiary,no,102,yes,no,cellular,5,apr,470,7,426,3,other
1462,33,unknown,married,secondary,no,2727,no,no,cellular,6,aug,205,3,-1,0,unknown
2347,35,management,single,tertiary,no,71,yes,no,unknown,21,may,836,12,-1,0,unknown
1292,49,technician,married,secondary,no,1091,no,no,telephone,30,jul,47,2,-1,0,unknown
2599,52,management,married,tertiary,no,-1224,yes,no,cellular,7,may,253,4,-1,0,unknown
2761,35,blue-collar,divorced,secondary,no,0,yes,no,unknown,8,may,477,1,-1,0,unknown
1323,46,blue-collar,married,primary,no,91,yes,no,cellular,6,may,29,1,356,2,failure
1351,43,management,divorced,tertiary,no,99,no,no,cellular,29,jan,24,3,-1,0,unknown
2684,34,blue-collar,married,secondary,no,67,yes,yes,unknown,8,may,672,3,-1,0,unknown
2769,45,admin.,married,secondary,no,0,no,no,cellular,19,aug,145,10,-1,0,unknown
2390,24,retired,single,secondary,no,366,no,yes,unknown,16,may,234,2,-1,0,unknown
4264,57,services,married,secondary,no,162,yes,no,unknown,5,may,174,1,-1,0,unknown
2657,28,services,single,secondary,no,-427,yes,yes,unknown,21,may,965,2,-1,0,unknown
1708,38,management,married,tertiary,no,76,yes,no,cellular,7,jul,196,3,-1,0,unknown
3763,33,blue-collar,married,secondary,no,137,no,yes,cellular,18,jul,305,12,-1,0,unknown
296,29,management,married,tertiary,no,451,no,no,cellular,28,jan,451,1,-1,0,unknown
3129,42,blue-collar,divorced,unknown,no,0,no,no,cellular,7,jul,64,2,-1,0,unknown
2007,30,technician,single,secondary,no,4787,yes,no,unknown,4,jun,99,2,-1,0,unknown
462,45,management,divorced,tertiary,no,0,no,no,unknown,1,jun,5,1,-1,0,unknown
3730,43,technician,married,secondary,no,3285,yes,no,unknown,13,may,1721,2,-1,0,unknown
2886,43,blue-collar,divorced,primary,no,92,yes,no,unknown,15,may,237,2,-1,0,unknown
2253,30,housemaid,single,secondary,no,1924,no,no,cellular,6,feb,170,1,-1,0,unknown
2461,31,services,single,secondary,no,11386,yes,no,cellular,20,nov,356,1,-1,0,unknown
3749,37,management,married,tertiary,no,410,no,no,cellular,29,jan,337,2,-1,0,unknown
3915,27,management,single,tertiary,yes,0,no,yes,cellular,8,jul,46,1,-1,0,unknown
3786,74,retired,married,secondary,no,921,no,no,telephone,17,apr,394,2,-1,0,unknown
995,38,blue-collar,married,secondary,no,1370,yes,no,cellular,11,may,472,2,-1,0,unknown
636,41,blue-collar,divorced,primary,no,2195,yes,no,unknown,3,jun,211,5,-1,0,unknown
1606,41,blue-collar,single,unknown,no,4684,no,no,unknown,20,jun,30,6,-1,0,unknown
3310,29,technician,single,tertiary,no,2893,yes,no,unknown,3,jun,250,1,-1,0,unknown
2123,41,technician,divorced,secondary,no,348,yes,no,cellular,7,may,225,2,275,2,failure
1552,33,management,single,tertiary,no,1998,no,no,cellular,19,nov,570,1,-1,0,unknown
1833,37,blue-collar,married,primary,no,0,yes,no,cellular,6,may,226,1,363,3,other
1092,47,technician,married,secondary,no,599,yes,no,cellular,13,aug,99,3,-1,0,unknown
1875,30,blue-collar,single,secondary,no,180,no,no,cellular,14,jul,203,1,183,2,failure
727,29,student,single,unknown,no,2929,no,no,cellular,11,aug,91,1,-1,0,unknown
2929,27,management,single,tertiary,no,0,yes,no,cellular,30,jan,323,4,-1,0,unknown
3634,54,retired,married,secondary,no,153,yes,yes,unknown,26,may,74,1,-1,0,unknown
1509,42,admin.,divorced,secondary,no,936,no,no,cellular,30,jan,931,1,-1,0,unknown
3044,53,entrepreneur,married,unknown,no,7,no,no,cellular,20,nov,68,1,-1,0,unknown
4039,54,blue-collar,married,secondary,no,448,yes,yes,cellular,5,aug,98,1,-1,0,unknown
2474,32,management,married,tertiary,no,1667,yes,no,cellular,18,nov,164,2,179,3,failure
788,43,technician,married,secondary,no,764,yes,no,cellular,14,jul,557,5,-1,0,unknown
2163,51,technician,married,secondary,no,1490,yes,no,cellular,18,jul,227,2,-1,0,unknown
2140,47,housemaid,single,tertiary,no,3727,no,no,unknown,12,jun,993,6,-1,0,unknown
166,78,housemaid,married,secondary,no,499,no,no,telephone,16,mar,80,4,-1,0,unknown
2154,36,blue-collar,married,secondary,no,63,yes,no,unknown,2,jun,56,8,-1,0,unknown
4162,56,technician,divorced,tertiary,no,401,yes,no,telephone,20,nov,26,1,-1,0,unknown
3322,30,blue-collar,single,secondary,no,178,yes,no,unknown,20,may,747,5,-1,0,unknown
1382,24,admin.,married,secondary,no,299,yes,no,cellular,6,may,209,1,321,1,failure
3427,52,entrepreneur,married,secondary,no,0,no,no,cellular,7,aug,82,2,-1,0,unknown
2358,51,blue-collar,married,primary,no,0,yes,no,cellular,10,jul,324,1,-1,0,unknown
4328,49,admin.,married,secondary,no,3608,yes,no,unknown,13,nov,231,1,-1,0,unknown
2396,30,management,married,tertiary,no,877,no,no,cellular,13,aug,202,1,83,5,failure
795,30,management,single,tertiary,no,162,yes,no,unknown,20,may,186,4,-1,0,unknown
1152,50,admin.,married,secondary,no,0,no,no,cellular,4,aug,86,4,-1,0,unknown
1609,33,management,single,secondary,no,8004,no,no,cellular,19,nov,414,3,-1,0,unknown
3616,45,management,single,tertiary,no,16,no,no,cellular,31,jul,59,2,-1,0,unknown
3800,32,technician,married,secondary,no,3333,no,no,cellular,8,aug,50,4,-1,0,unknown
3448,59,retired,divorced,secondary,no,319,no,no,cellular,24,jul,129,1,-1,0,unknown
4184,47,management,married,tertiary,no,6637,yes,no,cellular,17,apr,174,2,-1,0,unknown
3618,45,admin.,married,secondary,no,248,no,no,cellular,16,jul,212,2,-1,0,unknown
3540,58,retired,married,primary,no,565,no,no,telephone,7,jul,876,1,-1,0,unknown
3470,34,technician,single,secondary,no,0,yes,yes,unknown,16,may,214,1,-1,0,unknown
3309,28,technician,single,secondary,no,618,yes,no,cellular,7,may,281,1,-1,0,unknown
2831,38,admin.,married,tertiary,no,1980,no,no,cellular,5,aug,176,2,-1,0,unknown
1625,36,services,married,secondary,no,1746,yes,no,cellular,7,apr,15,1,316,1,failure
3545,55,retired,married,secondary,no,2749,yes,yes,unknown,29,may,58,2,-1,0,unknown
1277,46,admin.,divorced,secondary,no,2232,no,no,cellular,13,feb,121,1,-1,0,unknown
1046,35,retired,married,primary,no,285,yes,no,cellular,29,jan,136,1,-1,0,unknown
1799,41,technician,married,tertiary,no,13,no,no,unknown,5,jun,189,2,-1,0,unknown
1029,32,technician,married,secondary,no,266,yes,no,cellular,19,aug,168,2,-1,0,unknown
1547,54,entrepreneur,married,tertiary,no,1544,no,yes,cellular,5,feb,85,7,196,3,failure
4022,31,admin.,married,secondary,no,5,yes,yes,cellular,16,jul,101,7,-1,0,unknown
1803,31,services,single,secondary,no,1987,yes,no,telephone,20,nov,55,2,-1,0,unknown
320,45,admin.,married,unknown,no,1783,no,no,unknown,20,jun,11,11,-1,0,unknown
4056,46,services,married,secondary,no,2420,no,no,cellular,19,nov,405,2,-1,0,unknown
1802,30,services,single,secondary,no,432,yes,no,unknown,20,may,340,3,-1,0,unknown
2003,46,admin.,married,secondary,no,-121,yes,yes,cellular,8,jul,214,4,-1,0,unknown
3400,32,services,married,tertiary,no,4908,no,yes,cellular,13,may,491,2,-1,0,unknown
3253,39,blue-collar,married,unknown,no,157,yes,no,unknown,30,may,99,6,-1,0,unknown
3649,41,management,married,tertiary,no,771,yes,no,cellular,26,aug,106,8,-1,0,unknown
4350,29,blue-collar,single,secondary,no,-20,no,yes,cellular,21,jul,574,1,-1,0,unknown
2055,48,technician,married,secondary,no,568,yes,no,cellular,2,sep,378,2,386,1,success
2544,56,admin.,divorced,primary,no,0,no,yes,cellular,10,jul,542,1,-1,0,unknown
1585,42,blue-collar,married,secondary,no,5639,yes,no,cellular,17,jul,430,2,-1,0,unknown
1413,42,blue-collar,married,primary,no,1520,yes,no,cellular,5,feb,115,1,-1,0,unknown
2667,28,blue-collar,single,secondary,no,43,no,no,unknown,19,may,190,1,-1,0,unknown
3216,38,blue-collar,married,secondary,no,648,yes,no,unknown,3,jun,179,1,-1,0,unknown
281,32,blue-collar,married,secondary,no,1148,yes,no,cellular,20,apr,121,1,-1,0,unknown
102,49,technician,married,secondary,no,5996,no,no,telephone,21,nov,345,2,-1,0,unknown
2884,23,admin.,single,secondary,no,5,no,no,unknown,12,may,413,1,-1,0,unknown
1576,48,management,married,secondary,no,117,yes,no,cellular,16,apr,635,1,-1,0,unknown
2458,47,admin.,married,secondary,no,310,yes,yes,telephone,14,aug,128,6,-1,0,unknown
1964,33,blue-collar,married,primary,no,50,yes,no,cellular,7,may,246,2,-1,0,unknown
436,31,self-employed,married,tertiary,no,259,yes,no,cellular,7,may,47,1,-1,0,unknown
3115,39,self-employed,married,tertiary,no,585,yes,no,cellular,18,nov,48,1,181,3,failure
624,31,self-employed,married,tertiary,no,1134,no,no,cellular,6,feb,174,2,-1,0,unknown
2155,34,self-employed,married,primary,no,712,yes,no,unknown,2,jun,326,3,-1,0,unknown
1086,50,self-employed,married,secondary,no,3025,no,yes,cellular,6,aug,168,3,-1,0,unknown
1925,33,services,married,secondary,no,0,yes,no,telephone,22,jul,44,8,-1,0,unknown
2018,54,management,divorced,tertiary,no,7010,no,no,cellular,11,mar,275,2,-1,0,unknown
4136,31,management,married,tertiary,no,430,yes,no,cellular,25,jul,137,16,-1,0,unknown
2651,44,management,married,secondary,no,2984,yes,no,unknown,15,may,770,2,-1,0,unknown
2949,46,blue-collar,married,primary,no,147,yes,no,cellular,6,may,116,2,169,3,failure
485,55,housemaid,married,primary,no,136,yes,no,unknown,19,jun,15,10,-1,0,unknown
3615,31,admin.,single,secondary,no,757,no,no,cellular,3,feb,343,2,-1,0,unknown
3953,40,management,married,tertiary,no,51,no,no,cellular,19,aug,164,2,-1,0,unknown
2203,35,technician,single,tertiary,no,3552,no,no,cellular,21,nov,267,1,-1,0,unknown
816,41,technician,married,secondary,no,77,yes,no,cellular,7,may,56,1,-1,0,unknown
1108,43,management,single,tertiary,no,146,no,no,cellular,21,nov,50,1,113,5,other
1371,28,technician,single,secondary,no,126,no,no,cellular,3,mar,229,1,-1,0,unknown
2663,56,entrepreneur,married,unknown,no,575,no,no,unknown,20,jun,18,2,-1,0,unknown
4471,59,management,married,unknown,no,3534,no,no,cellular,21,nov,216,4,-1,0,unknown
561,28,student,single,secondary,no,11555,no,no,cellular,8,apr,125,2,-1,0,unknown
3469,48,blue-collar,married,primary,no,750,yes,no,cellular,18,may,90,6,-1,0,unknown
3411,57,management,married,tertiary,no,0,no,no,cellular,19,aug,188,4,-1,0,unknown
1663,52,blue-collar,divorced,primary,no,-191,yes,no,unknown,15,may,755,1,-1,0,unknown
865,32,blue-collar,single,secondary,no,-255,no,yes,unknown,2,jul,957,3,-1,0,unknown
3221,31,technician,married,secondary,no,0,no,yes,cellular,19,aug,144,4,-1,0,unknown
2221,34,management,married,tertiary,no,573,no,no,cellular,10,aug,122,1,-1,0,unknown
3537,27,admin.,divorced,secondary,no,76,yes,no,unknown,4,jun,236,1,-1,0,unknown
2565,23,blue-collar,single,unknown,no,817,yes,no,cellular,18,may,123,1,-1,0,unknown
2489,55,retired,married,primary,no,-966,no,yes,cellular,14,may,104,1,-1,0,unknown
1667,33,blue-collar,married,secondary,no,-346,yes,yes,unknown,23,may,29,3,-1,0,unknown
3989,31,blue-collar,single,tertiary,no,462,yes,yes,unknown,19,may,147,1,-1,0,unknown
961,41,blue-collar,married,secondary,no,552,yes,no,cellular,12,may,463,1,-1,0,unknown
2238,26,self-employed,married,tertiary,no,479,yes,no,cellular,9,feb,133,3,-1,0,unknown
1974,44,technician,single,secondary,no,7138,no,no,cellular,8,aug,809,2,-1,0,unknown
876,33,entrepreneur,married,tertiary,no,595,no,no,cellular,7,aug,22,2,-1,0,unknown
4139,51,blue-collar,divorced,secondary,no,1069,yes,no,unknown,30,may,247,2,-1,0,unknown
3046,43,blue-collar,married,primary,no,232,no,yes,cellular,15,may,45,1,-1,0,unknown
2729,34,blue-collar,single,tertiary,no,1011,yes,no,unknown,6,may,136,1,-1,0,unknown
1137,42,blue-collar,married,secondary,no,3052,yes,no,unknown,27,may,32,1,-1,0,unknown
2431,42,unemployed,married,secondary,no,1289,no,no,cellular,15,jul,250,4,415,2,failure
2767,47,self-employed,married,secondary,no,1121,no,no,unknown,20,jun,454,6,-1,0,unknown
970,58,self-employed,married,primary,no,1013,yes,no,cellular,11,aug,206,1,461,1,failure
3439,34,admin.,married,secondary,no,5320,no,no,cellular,3,mar,114,6,467,5,other
948,48,blue-collar,single,unknown,no,428,yes,no,cellular,18,may,127,1,-1,0,unknown
4343,51,blue-collar,married,primary,no,40,yes,no,cellular,13,may,79,1,370,1,failure
2659,59,admin.,married,secondary,no,92,yes,no,cellular,12,may,139,2,350,1,failure
859,51,entrepreneur,divorced,tertiary,no,4,yes,yes,cellular,20,apr,74,5,-1,0,unknown
2846,47,blue-collar,married,primary,no,881,yes,no,cellular,14,may,143,1,370,2,failure
329,48,admin.,single,secondary,no,1150,yes,no,unknown,28,may,357,1,-1,0,unknown
1647,30,management,married,tertiary,no,0,yes,no,cellular,9,jul,127,1,-1,0,unknown
524,45,services,married,secondary,no,-839,yes,no,unknown,28,may,68,1,-1,0,unknown
1870,25,student,single,unknown,no,10788,no,no,cellular,23,dec,102,2,210,2,other
1888,34,blue-collar,single,secondary,no,-72,yes,no,cellular,7,jul,273,5,-1,0,unknown
1944,48,blue-collar,married,secondary,no,333,yes,no,cellular,14,may,24,6,-1,0,unknown
2183,46,blue-collar,married,primary,no,174,no,yes,cellular,15,jul,90,1,-1,0,unknown
4174,42,management,single,tertiary,no,10907,no,no,cellular,4,may,74,3,-1,0,unknown
3161,24,technician,married,secondary,no,556,yes,no,cellular,18,aug,460,2,-1,0,unknown
2069,38,management,single,tertiary,no,35,yes,no,cellular,17,apr,156,1,273,3,failure
1196,72,blue-collar,married,primary,no,4415,no,no,telephone,13,oct,120,1,-1,0,unknown
1132,41,management,divorced,tertiary,no,4567,yes,yes,cellular,16,jul,106,1,-1,0,unknown
2350,34,technician,married,secondary,no,0,yes,no,cellular,29,aug,116,4,-1,0,unknown
4416,32,blue-collar,single,secondary,no,811,yes,no,cellular,14,may,563,1,-1,0,unknown
1897,49,management,married,tertiary,no,87,no,no,cellular,29,jan,165,1,-1,0,unknown
2429,26,student,single,secondary,no,203,no,no,cellular,16,nov,104,1,196,1,failure
4304,55,entrepreneur,married,primary,no,298,yes,no,unknown,8,may,144,3,-1,0,unknown
3702,48,blue-collar,married,secondary,no,1738,yes,no,cellular,15,apr,349,1,-1,0,unknown
4292,33,management,married,tertiary,no,752,yes,no,cellular,11,aug,104,4,-1,0,unknown
200,34,technician,single,tertiary,no,992,yes,no,cellular,4,may,301,1,88,2,success
3234,39,management,single,tertiary,no,3797,no,no,cellular,2,jun,96,2,-1,0,unknown
4457,37,blue-collar,single,primary,no,6969,yes,no,unknown,20,may,412,1,-1,0,unknown
4322,33,blue-collar,married,secondary,no,932,yes,no,unknown,21,may,226,1,-1,0,unknown
404,50,blue-collar,married,secondary,no,887,no,no,unknown,16,jun,287,1,-1,0,unknown
3828,31,blue-collar,married,unknown,no,-120,yes,no,cellular,3,feb,100,3,201,2,failure
421,37,management,married,tertiary,no,502,yes,no,cellular,7,may,551,1,351,1,failure
483,40,management,married,tertiary,no,0,no,no,cellular,14,jul,109,8,-1,0,unknown
2259,41,management,married,tertiary,no,326,yes,no,cellular,5,may,788,1,-1,0,unknown
2467,32,services,single,secondary,no,-402,yes,no,cellular,17,apr,135,1,-1,0,unknown
1356,30,management,single,tertiary,no,604,no,yes,cellular,2,feb,475,1,-1,0,unknown
3851,26,admin.,single,secondary,no,802,no,no,cellular,30,jan,77,1,2,2,other
1110,50,blue-collar,divorced,primary,no,-10,no,yes,cellular,10,jul,369,6,-1,0,unknown
1491,41,technician,married,secondary,no,351,yes,no,cellular,9,jul,175,1,-1,0,unknown
3356,51,technician,married,secondary,no,500,yes,no,cellular,20,nov,26,6,-1,0,unknown
3341,53,admin.,married,secondary,no,459,no,no,cellular,5,apr,558,1,-1,0,unknown
2192,26,admin.,single,secondary,no,236,yes,yes,cellular,18,may,8,2,-1,0,unknown
3831,34,management,single,tertiary,no,8038,yes,no,cellular,20,apr,29,3,152,1,failure
173,32,admin.,married,secondary,no,1031,yes,no,cellular,17,jul,84,1,-1,0,unknown
2626,48,blue-collar,married,primary,no,5366,yes,no,unknown,21,may,248,3,-1,0,unknown
2764,42,blue-collar,married,secondary,no,2157,yes,no,cellular,13,may,149,1,364,2,failure
67,29,technician,married,secondary,no,444,yes,no,cellular,21,jul,130,4,-1,0,unknown
187,37,services,single,secondary,no,21,yes,no,cellular,2,feb,96,1,271,2,other
3188,38,admin.,divorced,tertiary,no,86,yes,no,unknown,6,may,218,1,-1,0,unknown
2317,58,retired,single,primary,no,6570,no,no,cellular,21,jul,106,3,-1,0,unknown
1405,37,blue-collar,married,primary,no,37,yes,no,cellular,13,may,24,2,362,1,other
1690,46,admin.,single,secondary,no,751,yes,no,unknown,13,may,104,2,-1,0,unknown
2836,29,self-employed,married,tertiary,no,3931,yes,no,unknown,3,jun,73,4,-1,0,unknown
2656,37,technician,married,secondary,no,712,yes,no,cellular,18,nov,291,2,-1,0,unknown
2134,58,retired,married,secondary,no,425,yes,yes,cellular,17,nov,100,1,-1,0,unknown
84,37,management,married,tertiary,no,1315,no,no,cellular,30,jun,224,1,-1,0,unknown
598,60,retired,divorced,unknown,no,-49,yes,no,cellular,29,jan,188,1,261,2,failure
2553,33,management,married,tertiary,no,1064,yes,no,cellular,13,may,562,1,-1,0,unknown
369,30,entrepreneur,married,secondary,no,946,yes,no,cellular,19,nov,1065,1,183,1,other
817,37,services,single,secondary,no,-244,no,no,unknown,3,jul,178,1,-1,0,unknown
411,34,blue-collar,single,secondary,no,186,no,no,cellular,2,feb,342,1,-1,0,unknown
4316,49,blue-collar,married,unknown,no,51,yes,no,unknown,7,may,984,1,-1,0,unknown
4215,37,unemployed,married,secondary,no,1978,no,no,cellular,9,sep,404,1,182,1,success
878,31,self-employed,single,secondary,no,203,no,yes,cellular,19,nov,177,1,-1,0,unknown
2969,47,technician,married,tertiary,no,2408,no,no,cellular,12,aug,236,1,104,1,success
1241,22,student,single,unknown,no,549,no,no,cellular,2,sep,154,1,-1,0,unknown
533,46,technician,divorced,secondary,no,3455,yes,no,unknown,14,may,566,2,-1,0,unknown
3914,30,technician,married,tertiary,no,569,no,no,cellular,27,aug,976,12,-1,0,unknown
1199,35,management,single,tertiary,no,2988,yes,no,cellular,25,may,179,1,-1,0,unknown
3002,27,services,single,secondary,no,3354,yes,no,cellular,14,may,493,5,-1,0,unknown
4458,29,management,single,tertiary,no,572,no,no,cellular,16,dec,314,1,195,1,success
3798,38,management,single,tertiary,no,0,no,no,cellular,24,jul,164,1,-1,0,unknown
1378,41,blue-collar,married,primary,no,951,yes,no,cellular,20,apr,23,4,-1,0,unknown
1646,38,technician,single,tertiary,no,2273,yes,no,cellular,17,apr,222,1,-1,0,unknown
746,41,technician,single,secondary,no,-41,yes,yes,cellular,3,apr,154,1,-1,0,unknown
3266,45,blue-collar,married,secondary,no,192,yes,no,cellular,13,may,154,5,176,1,other
2085,33,blue-collar,married,secondary,no,-77,yes,no,cellular,28,jul,151,3,-1,0,unknown
4213,30,technician,single,secondary,no,-522,yes,yes,cellular,5,may,670,2,286,6,failure
113,33,blue-collar,single,secondary,no,22,no,no,cellular,30,jan,76,2,207,1,failure
27,67,retired,married,unknown,no,696,no,no,telephone,17,aug,119,1,105,2,failure
2151,51,blue-collar,divorced,primary,no,602,yes,no,cellular,11,may,347,1,284,2,failure
2738,39,technician,single,tertiary,no,1043,no,no,cellular,18,aug,195,10,-1,0,unknown
2936,50,unemployed,divorced,secondary,no,717,yes,no,cellular,30,jan,113,1,-1,0,unknown
1262,43,blue-collar,married,primary,no,-98,yes,yes,cellular,12,may,112,2,330,3,other
548,39,management,single,tertiary,no,12437,no,no,telephone,18,nov,40,1,-1,0,unknown
702,32,management,divorced,tertiary,no,874,no,no,cellular,12,aug,1282,6,-1,0,unknown
2964,41,blue-collar,married,primary,no,4,no,no,cellular,23,jul,74,5,-1,0,unknown
957,55,management,divorced,unknown,no,2,yes,no,unknown,19,may,95,1,-1,0,unknown
303,35,blue-collar,married,secondary,no,1287,yes,no,cellular,14,jul,330,2,-1,0,unknown
2109,27,admin.,single,secondary,no,-145,yes,no,telephone,15,may,289,8,-1,0,unknown
1256,55,services,divorced,secondary,no,218,yes,no,unknown,29,may,200,2,-1,0,unknown
2639,50,management,married,tertiary,no,1240,no,no,cellular,12,aug,474,2,-1,0,unknown
3137,42,blue-collar,married,secondary,no,3068,yes,yes,cellular,11,may,429,2,-1,0,unknown
298,38,entrepreneur,married,secondary,no,593,yes,yes,cellular,24,jul,1484,24,-1,0,unknown
3717,59,management,married,tertiary,no,1585,no,no,telephone,28,aug,91,5,-1,0,unknown
1208,28,management,married,tertiary,no,3694,no,yes,cellular,8,jul,70,2,-1,0,unknown
759,42,entrepreneur,married,tertiary,no,233,no,no,cellular,5,feb,446,1,-1,0,unknown
2149,32,technician,single,tertiary,no,1059,yes,no,cellular,17,apr,115,1,-1,0,unknown
1347,29,self-employed,married,tertiary,no,751,yes,no,unknown,23,may,121,2,-1,0,unknown
1345,40,management,divorced,tertiary,no,69,yes,no,cellular,6,may,503,2,280,2,failure
2376,35,services,married,secondary,no,152,yes,no,unknown,2,jun,563,1,-1,0,unknown
2822,38,entrepreneur,married,tertiary,no,170,yes,no,cellular,18,may,442,1,-1,0,unknown
2713,54,technician,married,tertiary,no,98,no,no,cellular,8,aug,420,4,-1,0,unknown
3757,35,technician,single,tertiary,no,2288,no,no,telephone,28,may,32,2,-1,0,unknown
655,59,retired,married,primary,no,0,yes,no,unknown,26,may,104,7,-1,0,unknown
2141,33,blue-collar,married,secondary,no,0,yes,yes,cellular,28,jul,83,12,-1,0,unknown
824,39,technician,married,tertiary,no,794,no,no,telephone,2,feb,182,1,-1,0,unknown
3860,40,services,married,secondary,no,51,yes,no,cellular,11,may,50,1,-1,0,unknown
2473,32,technician,married,tertiary,no,-1053,yes,no,cellular,21,jul,357,3,-1,0,unknown
271,24,blue-collar,single,secondary,no,174,yes,yes,cellular,18,may,487,1,-1,0,unknown
4376,42,blue-collar,married,primary,no,-10,yes,no,unknown,9,may,291,4,-1,0,unknown
4140,54,self-employed,divorced,primary,no,4382,yes,no,telephone,18,may,193,4,-1,0,unknown
3148,36,admin.,single,secondary,no,1927,yes,no,cellular,18,nov,288,1,137,1,other
2827,49,services,married,secondary,no,320,no,no,telephone,9,feb,1971,4,-1,0,unknown
4418,43,management,married,tertiary,no,3529,yes,no,cellular,4,aug,190,3,-1,0,unknown
3212,41,technician,married,tertiary,no,177,yes,no,telephone,11,jul,117,2,-1,0,unknown
1522,39,entrepreneur,married,primary,no,238,yes,yes,cellular,19,nov,134,1,-1,0,unknown
